Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 12.00      0.03     0.03  4981104     0.00     0.00  resolve_expected_expr
  8.00      0.05     0.02  1114282     0.00     0.00  sym_get_builtin
  8.00      0.07     0.02   327760     0.00     0.00  eval_binary_op
  4.00      0.08     0.01  3768578     0.00     0.00  resolve_expr
  4.00      0.09     0.01  3604725     0.00     0.00  sym_get_local
  4.00      0.10     0.01  2031697     0.00     0.00  resolve_stmt
  4.00      0.11     0.01  1835152     0.00     0.00  operand_lvalue
  4.00      0.12     0.01  1835152     0.00     0.00  resolve_name_operand
  4.00      0.13     0.01  1212483     0.00     0.00  resolve_stmt_assign
  4.00      0.14     0.01  1049396     0.00     0.00  str_intern_range
  4.00      0.15     0.01  1015899     0.00     0.00  resolve_expr_binary_op
  4.00      0.16     0.01   688241     0.00     0.00  sym_get_type
  4.00      0.17     0.01   688208     0.00     0.00  is_floating_type
  4.00      0.18     0.01   688136     0.00     0.00  resolve_typespec
  4.00      0.19     0.01   557056     0.00     0.00  resolve_expr_boolean
  4.00      0.20     0.01   524333     0.00     0.00  resolve_expr_float
  4.00      0.21     0.01   393229     0.00     0.00  resolve_expr_string
  4.00      0.22     0.01   262173     0.00     0.00  resolve_stmt_block
  4.00      0.23     0.01   196608     0.00     0.00  buf__printf
  4.00      0.24     0.01   163875     0.00     0.00  parse_interpreter
  2.00      0.25     0.01  1015899     0.00     0.00  token_kind_name
  2.00      0.25     0.01   164482     0.00     0.00  is_keyword_name
  0.00      0.25     0.00  4391395     0.00     0.00  operand_const
  0.00      0.25     0.00  3604725     0.00     0.00  sym_get
  0.00      0.25     0.00  3408198     0.00     0.00  is_arithmetic_type
  0.00      0.25     0.00  3375326     0.00     0.00  cast_operand
  0.00      0.25     0.00  2556088     0.00     0.00  is_convertible
  0.00      0.25     0.00  1835152     0.00     0.00  resolve_expr_name
  0.00      0.25     0.00  1802411     0.00     0.00  is_string_type
  0.00      0.25     0.00  1802374     0.00     0.00  convert_operand
  0.00      0.25     0.00  1015880     0.00     0.00  resolve_expr_binary
  0.00      0.25     0.00   884917     0.00     0.00  str_intern
  0.00      0.25     0.00   753714     0.00     0.00  is_castable
  0.00      0.25     0.00   688156     0.00     0.00  resolve_name
  0.00      0.25     0.00   688136     0.00     0.00  resolve_stmt_dim
  0.00      0.25     0.00   688136     0.00     0.00  resolve_typespec_name
  0.00      0.25     0.00   655440     0.00     0.00  is_integer_type
  0.00      0.25     0.00   655382     0.00     0.00  is_concatable
  0.00      0.25     0.00   622600     0.00     0.00  sym_push_dim
  0.00      0.25     0.00   426054     0.00     0.00  sym_get_builtin
  0.00      0.25     0.00   393290     0.00     0.00  resolve_expr_int
  0.00      0.25     0.00   327760     0.00     0.00  resolve_binary_arithmetic_op
  0.00      0.25     0.00   327760     0.00     0.00  resolve_binary_op
  0.00      0.25     0.00   327760     0.00     0.00  unify_operands
  0.00      0.25     0.00   294992     0.00     0.00  eval_binary_op_d
  0.00      0.25     0.00   294923     0.00     0.00  resolve_binary_string_op
  0.00      0.25     0.00   262179     0.00     0.00  add_builtin_var
